index row col crate slot
526 17 16 3 5
527 17 17 3 5
528 17 18 3 6
529 17 19 3 6
530 17 20 3 6
531 17 21 3 6
532 17 22 3 6
533 17 23 3 6
534 17 24 3 6
535 17 25 3 6
536 17 26 3 6
537 17 27 3 6
538 17 28 3 6
539 17 29 3 6
540 18 0 3 6
541 18 1 3 6
542 18 2 3 6
543 18 3 3 6
544 18 4 3 7
545 18 5 3 7
546 18 6 3 7
547 18 7 3 7
548 18 8 3 7
549 18 9 3 7
550 18 10 3 7
551 18 11 3 7
552 18 12 3 7
553 18 13 3 7
554 18 14 3 7
555 18 15 3 7
556 18 16 3 7
557 18 17 3 7
558 18 18 3 7
559 18 19 3 7
560 18 20 3 8
561 18 21 3 8
562 18 22 3 8
563 18 23 3 8
564 18 24 3 8
565 18 25 3 8
566 18 26 3 8
567 18 27 3 8
568 18 28 3 8
569 18 29 3 8
570 19 0 3 8
571 19 1 3 8
572 19 2 3 8
573 19 3 3 8
574 19 4 3 8
575 19 5 3 8
576 19 6 3 9
577 19 7 3 9
578 19 8 3 9
579 19 9 3 9
580 19 10 3 9
581 19 11 3 9
582 19 12 3 9
583 19 13 3 9
584 19 14 3 9
585 19 15 3 9
586 19 16 3 9
587 19 17 3 9
588 19 18 3 9
589 19 19 3 9
590 19 20 3 9
591 19 21 3 9
592 19 22 3 10
593 19 23 3 10
594 19 24 3 10
595 19 25 3 10
596 19 26 3 10
597 19 27 3 10
598 19 28 3 10
599 19 29 3 10
600 20 0 3 10
601 20 1 3 10
602 20 2 3 10
603 20 3 3 10
604 20 4 3 10
605 20 5 3 10
606 20 6 3 10
607 20 7 3 10
608 20 8 3 13
609 20 9 3 13
610 20 10 3 13
611 20 11 3 13
612 20 12 3 13
613 20 13 3 13
614 20 14 3 13
615 20 15 3 13
616 20 16 3 13
617 20 17 3 13
618 20 18 3 13
619 20 19 3 13
620 20 20 3 13
621 20 21 3 13
622 20 22 3 13
623 20 23 3 13
624 20 24 3 14
625 20 25 3 14
626 20 26 3 14
627 20 27 3 14
628 20 28 3 14
629 20 29 3 14
630 21 0 3 14
631 21 1 3 14
632 21 2 3 14
633 21 3 3 14
634 21 4 3 14
635 21 5 3 14
636 21 6 3 14
637 21 7 3 14
638 21 8 3 14
639 21 9 3 14
640 21 10 3 15
641 21 11 3 15
642 21 12 3 15
643 21 13 3 15
644 21 14 3 15
645 21 15 3 15
646 21 16 3 15
647 21 17 3 15
648 21 18 3 15
649 21 19 3 15
650 21 20 3 15
651 21 21 3 15
652 21 22 3 15
653 21 23 3 15
654 21 24 3 15
655 21 25 3 15
656 21 26 3 16
657 21 27 3 16
658 21 28 3 16
659 21 29 3 16
660 22 0 3 16
661 22 1 3 16
662 22 2 3 16
663 22 3 3 16
664 22 4 3 16
665 22 5 3 16
666 22 6 3 16
667 22 7 3 16
668 22 8 3 16
669 22 9 3 16
670 22 10 3 16
671 22 11 3 16
672 22 12 3 17
673 22 13 3 17
674 22 14 3 17
675 22 15 3 17
676 22 16 3 17
677 22 17 3 17
678 22 18 3 17
679 22 19 3 17
680 22 20 3 17
681 22 21 3 17
682 22 22 3 17
683 22 23 3 17
684 22 24 3 17
685 22 25 3 17
686 22 26 3 17
687 22 27 3 17
688 22 28 3 18
689 22 29 3 18
690 23 0 3 18
691 23 1 3 18
692 23 2 3 18
693 23 3 3 18
694 23 4 3 18
695 23 5 3 18
696 23 6 3 18
697 23 7 3 18
698 23 8 3 18
699 23 9 3 18
700 23 10 3 18
701 23 11 3 18
702 23 12 3 18
703 23 13 3 18
